Status,Full Title,URL,Bedrooms,Bathrooms,Price,SqF,City,Address,PhoneNumber,email,
,,https://chicago.craigslist.org/chc/apa/d/chicago-beautiful-spacious-studio/7032670857.html,0BR,1Ba,$575,,(6128 S Woodlawn),North Wells St near Schiller,(314) 322-3561,84014b1d0ae634839dd287a0bbc63e62@hous.craigslist.org,,
,,https://chicago.craigslist.org/chc/apa/d/chicago-spectacular-1bd1br-lakeview/7032837738.html,1BR,1Ba,$1395,,(Chicago - Lakeview East),West Roscoe,(312) 931-0032,62c954cff52c33a1b7d4108598c10368@hous.craigslist.org,,
,,https://chicago.craigslist.org/chc/apa/d/chicago-cozy-and-bright-apartment400/7032669819.html,2BR,1Ba,$900,,(7201 S Western Ave Chicago, IL),7201 S Western near 72nd,(312) 931-0032,5960f9dc7a013cdea15f75a95fc0a397@hous.craigslist.org,,
,,https://chicago.craigslist.org/chc/apa/d/chicago-lovely-2-bedroom-apartmentwith/7032669276.html,2BR,1Ba,$900,,(7201 S Western Ave Chicago, IL),7201 S Western near 72nd,(314) 322-3561,5960f9dc7a013cdea15f75a95fc0a397@hous.craigslist.org,,
,,https://chicago.craigslist.org/chc/apa/d/chicago-river-north-corner-2bd-2ba/7032833009.html,2BR,1Ba,$1500,,(Belmont & Lawndale/Avondale),3253 North Lawndale near Belmont & Lawndale,(314) 322-3561,a5121615c0d4340488990073a04b869c@hous.craigslist.org,,
,,https://chicago.craigslist.org/chc/apa/d/chicago-room-for-rent-500/7032669027.html,1BR,1Ba,$500,,(Cicero/Addison),Huron near Kingsbury,(312) 348-7533,7c1159d75b9c37a5b0806d41925f6aff@hous.craigslist.org,,
,,https://chicago.craigslist.org/chc/apa/d/chicago-room-for-rent-500/7032669027.html,1BR,1Ba,$500,,(Cicero/Addison),Huron near Kingsbury,(219) 916-6499,5ee70f99470f3d2c9c19b039685d8002@hous.craigslist.org,,
,,https://chicago.craigslist.org/chc/apa/d/chicago-huge-studio-close-to-jarvis-red/7032829917.html,1BR,1Ba,$500,,(Cicero/Addison),Huron near Kingsbury,(773) 931-0961,5ee70f99470f3d2c9c19b039685d8002@hous.craigslist.org,,
,,https://chicago.craigslist.org/nch/apa/d/deerfield-deerfield-3-bedroom-15-bath/7032668879.html,3BR,1.5Ba,$2100,,(Deerfield),1362 Barclay Lane near Waukegan Rd,(773) 931-0961,87e1cf7266b036a4aa952b1bc6ed0997@hous.craigslist.org,,
,,https://chicago.craigslist.org/chc/apa/d/chicago-two-bedroom-two-bath-condo/7032668804.html,2BR,2Ba,$1350,,(4040 S Prairie),40th near Prairie,(773) 931-0961,93d5a094a6af32e5b8c2a1f434b33091@hous.craigslist.org,,
,,https://chicago.craigslist.org/chc/apa/d/chicago-extraordinary-1-bedroom-1-bath/7032667950.html,2BR,2Ba,$1350,,(4040 S Prairie),40th near Prairie,(773) 271-6143,93d5a094a6af32e5b8c2a1f434b33091@hous.craigslist.org,,
,,https://chicago.craigslist.org/wcl/apa/d/2-bedroom-apartment-for-rent-stickney/7032827752.html,1BR,1Ba,$1725,,(Oakdale & Seminary),40th near Prairie,(773) 271-6143,7d78483b85e73e2aaf26c67296608c76@hous.craigslist.org,,
,,https://chicago.craigslist.org/chc/apa/d/chicago-beautiful-large-1-bedroom-1/7032667824.html,1BR,1Ba,$650,,(62nd & Ellis),40th near Prairie,(773) 271-6143,1b31b23fd33937a4b87ae93d3e9f4a4a@hous.craigslist.org,,
,,https://chicago.craigslist.org/chc/apa/d/chicago-grand-ave-bright-one-bed-one/7032667317.html,1BR,1Ba,$1275,,(Chicago),40th near Prairie,(773) 271-6143,0af38b6169823931a7dd018a6c360b32@hous.craigslist.org,,
,,https://chicago.craigslist.org/wcl/apa/d/2-bedroom-apartment-for-rent-stickney/7032827752.html,2BR,1Ba,$995,,(4219 S. Harlem Ave),40th near Prairie,(773) 271-6143,ea0b82c1693538a9b1569bbb73287221@hous.craigslist.org,,
,,https://chicago.craigslist.org/chc/apa/d/justice-th-place-apartments-available/7032666707.html,2BR,1Ba,$820,,(Justice),8141 w 84th place,(773) 271-6143,01e6f8d5250232adb92ee954416b6163@hous.craigslist.org,,
,,https://chicago.craigslist.org/chc/apa/d/chicago-refreshing-1-bedroom-1-bath-in/7032666547.html,1BR,1Ba,$1321,,(Barry & Broadyway),8141 w 84th place,(773) 271-6143,6e2b5c34a6c93f6985096f3c91b7f2ec@hous.craigslist.org,,
,,https://chicago.craigslist.org/nch/apa/d/palatine-palatine-4br-home-for-rent/7032666172.html,1BR,1Ba,$1321,,(Barry & Broadyway),8141 w 84th place,(224) 808-0355,6e2b5c34a6c93f6985096f3c91b7f2ec@hous.craigslist.org,,
,,https://chicago.craigslist.org/nch/apa/d/palatine-palatine-4br-home-for-rent/7032666172.html,3BR,1Ba,$2190,,(PALATINE),519 West Dorset Avenue,(224) 808-0355,4bf8753ec3c63205bc4683211ef96e00@hous.craigslist.org,,
,,https://chicago.craigslist.org/chc/apa/d/chicago-premier-studio-1-bath-in/7032665698.html,0BR,1Ba,$950,,(Paulina & Wilson),519 West Dorset Avenue,(224) 808-0355,9eca9a4b658b359793c9655b3aef5bbb@hous.craigslist.org,,
,,https://chicago.craigslist.org/chc/apa/d/chicago-quality-studio-1-bath-in/7032664880.html,0BR,1Ba,$950,,(Paulina & Wilson),519 West Dorset Avenue,(847) 922-9229,9eca9a4b658b359793c9655b3aef5bbb@hous.craigslist.org,,
,,https://chicago.craigslist.org/chc/apa/d/chicago-newly-rehabbed-spacious-and/7032826582.html,0BR,1Ba,$963,,(Dakin & Fremont),519 West Dorset Avenue,(847) 922-9229,51c9277dbd773de6b20d752d12654ab5@hous.craigslist.org,,
,,https://chicago.craigslist.org/sox/apa/d/chicago-3-bedroom-2-bathroom-home-for/7032662451.html,3BR,2Ba,$1595,,(Alsip near 115th and Pulaski),115th Street near Karlov,(708) 628-5390,c7629404f84d3f298d58a164fa8ac410@hous.craigslist.org,,
,,https://chicago.craigslist.org/chc/apa/d/chicago-move-in-special-heat-cooking/7032826345.html,3BR,2Ba,$1595,,(Alsip near 115th and Pulaski),115th Street near Karlov,(708) 628-5390,c7629404f84d3f298d58a164fa8ac410@hous.craigslist.org,,
,,https://chicago.craigslist.org/chc/apa/d/chicago-hardwood-flooring-in-main/7032662404.html,2BR,2.5Ba,$3005,,(Rogers Park),1255 S. Michigan Avenue,(773) 271-6143,ed4b8878d7cd3feeb204c04ab6451eec@hous.craigslist.org,,
,,https://chicago.craigslist.org/chc/apa/d/chicago-hardwood-flooring-in-main/7032662404.html,2BR,2.5Ba,$3005,,(Lakeview North Center),1255 S. Michigan Avenue,(708) 624-1580,af64734512893a6899b358507cd96273@hous.craigslist.org,,
,,https://chicago.craigslist.org/chc/apa/d/chicago-fabulous-custom-kitchen-in-this/7032825948.html,2BR,2.5Ba,$3005,,(Lakeview North Center),1255 S. Michigan Avenue,,af64734512893a6899b358507cd96273@hous.craigslist.org,,
,,https://chicago.craigslist.org/chc/apa/d/chicago-amazing-1-bedroom-1-bath-in/7032662394.html,1BR,1Ba,$1350,,(Waveland & Halsted),1255 S. Michigan Avenue near 13th St & Michigan Ave,,f476efe2023c3673a24d6e5af982934f@hous.craigslist.org,,
,,https://chicago.craigslist.org/chc/apa/d/chicago-amazing-studio-1-bath-in/7032661667.html,0BR,1Ba,$1245,,(Orchard & Fullerton),1255 S. Michigan Avenue near 13th St & Michigan Ave,,8af2a4d978513682989fce5469a9adf1@hous.craigslist.org,,
,,https://chicago.craigslist.org/chc/apa/d/chicago-gloriously-appointed-studio-1/7032661002.html,0BR,1Ba,$820,,(Belmont & Pine Grove),1255 S. Michigan Avenue near 13th St & Michigan Ave,(877) 875-6321,8af2a4d978513682989fce5469a9adf1@hous.craigslist.org,,
,,https://chicago.craigslist.org/chc/apa/d/chicago-luxury-river-north-studio-d/7032825594.html,0BR,1Ba,$820,,(Belmont & Pine Grove),1255 S. Michigan Avenue near 13th St & Michigan Ave,(877) 875-6321,0d6f1711c07a3bbba9a2ab4d08b7a68b@hous.craigslist.org,,
,,https://chicago.craigslist.org/chc/apa/d/chicago-gloriously-appointed-studio-1/7032660313.html,0BR,1Ba,$820,,(Belmont & Pine Grove),1255 S. Michigan Avenue near 13th St & Michigan Ave,(877) 875-6321,14aab732346e31da9e75cabd0f1443a9@hous.craigslist.org,,
,,https://chicago.craigslist.org/chc/apa/d/chicago-gloriously-appointed-studio-1/7032659837.html,0BR,1Ba,$820,,(Belmont & Pine Grove),1255 S. Michigan Avenue near 13th St & Michigan Ave,(877) 875-6321,14aab732346e31da9e75cabd0f1443a9@hous.craigslist.org,,
,,https://chicago.craigslist.org/chc/apa/d/chicago-breathtaking-1-bedroom-1-bath/7032659378.html,1BR,1Ba,$1370,,(Hermitage & Lawrence),1255 S. Michigan Avenue near 13th St & Michigan Ave,,14aab732346e31da9e75cabd0f1443a9@hous.craigslist.org,,
,,https://chicago.craigslist.org/chc/apa/d/chicago-brand-new-3bd-2bth-rehabbed/7032825579.html,1BR,1Ba,$1370,,(Hermitage & Lawrence),1255 S. Michigan Avenue near 13th St & Michigan Ave,,ff390180a43930b3a39ba4a28189878a@hous.craigslist.org,,
,,https://chicago.craigslist.org/sox/apa/d/one-bedroom-1-worth-between-chicago/7032658831.html,1BR,1Ba,$795,,(Worth / Chicago Ridge),Southwest Highway near Harlem Avenue,(312) 480-0360,c78ed9ab78763c9ba9c0ebc1e9ce61d9@hous.craigslist.org,,
,,https://chicago.craigslist.org/sox/apa/d/one-bedroom-1-worth-between-chicago/7032658831.html,1BR,1Ba,$795,,(Worth / Chicago Ridge),Southwest Highway near Harlem Avenue,(314) 322-3561,47c620d889d13d3db48fcb489d76d9f9@hous.craigslist.org,,
,,https://chicago.craigslist.org/chc/apa/d/chicago-heat-cooking-gas-water-incld/7032823619.html,1BR,1Ba,$795,,(Worth / Chicago Ridge),Southwest Highway near Harlem Avenue,(708) 827-5161,47c620d889d13d3db48fcb489d76d9f9@hous.craigslist.org,,
,,https://chicago.craigslist.org/chc/apa/d/chicago-premier-studio-1-bath-in/7032658457.html,0BR,1Ba,$950,,(Paulina & Wilson),1521 W Sherwin near Ashland,(708) 827-5161,d7ac7bf09496302c996121e7b65702de@hous.craigslist.org,,
,,https://chicago.craigslist.org/chc/apa/d/chicago-2-bd-on-west-glenlake-pet-ok-no/7032823037.html,0BR,1Ba,$950,,(Paulina & Wilson),1521 W Sherwin near Ashland,(708) 827-5161,8880877357d93284b7145d9c7f461f72@hous.craigslist.org,,
,,https://chicago.craigslist.org/wcl/apa/d/lisle-woodridge-3br-home-for-rent/7032657200.html,3BR,2Ba,$2430,,(WOODRIDGE),6648 Oak Tree Trail,(708) 827-5161,8880877357d93284b7145d9c7f461f72@hous.craigslist.org,,
,,https://chicago.craigslist.org/wcl/apa/d/lisle-woodridge-3br-home-for-rent/7032657200.html,3BR,2Ba,$2430,,(WOODRIDGE),6648 Oak Tree Trail,(708) 827-5161,8880877357d93284b7145d9c7f461f72@hous.craigslist.org,,
,,https://chicago.craigslist.org/chc/apa/d/chicago-noteworthy-studio-1-bath-in/7032656538.html,0BR,1Ba,$970,,(Cornelia & Halsted),6648 Oak Tree Trail,(708) 827-5161,23e3032488713a94884f18030587ab8d@hous.craigslist.org,,
,,https://chicago.craigslist.org/chc/apa/d/chicago-matchless-1-bedroom-1-bath-in/7032655933.html,1BR,1Ba,$1175,,(Roscoe & Lake Shore Drive),6648 Oak Tree Trail,(708) 827-5161,9081a1eb2f763d2c822b19387abf624e@hous.craigslist.org,,
,,https://chicago.craigslist.org/chc/apa/d/chicago-magnificent-studio-1-bath-in/7032655467.html,1BR,1Ba,$1175,,(Roscoe & Lake Shore Drive),6648 Oak Tree Trail,(847) 781-0400,9081a1eb2f763d2c822b19387abf624e@hous.craigslist.org,,
,,https://chicago.craigslist.org/nwc/apa/d/elk-grove-village-two-bedroom-apartment/7032821724.html,2BR,1Ba,$1150,,(Elk Grove Village),626 Carroll Square, #1E near Arlington Heights Road,(847) 781-0400,dc745fa15d26337eb64d0f6076a4daad@hous.craigslist.org,,
,,https://chicago.craigslist.org/chc/apa/d/chicago-rarely-available-1-bedroom-1/7032654986.html,1BR,1Ba,$1325,,(Pine Grove & Grace),626 Carroll Square, #1E near Arlington Heights Road,(847) 781-0400,0df0016d44053ff5846e2ab51dc6d954@hous.craigslist.org,,
,,https://chicago.craigslist.org/chc/apa/d/chicago-remarkable-2-bedroom-1-bath-in/7032654466.html,2BR,1Ba,$1500,,(Malden & Leland),626 Carroll Square, #1E near Arlington Heights Road,(847) 781-0400,0bbbecc4adc43a54a4e86a8c169da069@hous.craigslist.org,,
,,https://chicago.craigslist.org/chc/apa/d/chicago-matchless-1-bedroom-1-bath-in/7032654071.html,2BR,1Ba,$1500,,(Malden & Leland),626 Carroll Square, #1E near Arlington Heights Road,(708) 774-8579,0bbbecc4adc43a54a4e86a8c169da069@hous.craigslist.org,,
,,https://chicago.craigslist.org/chc/apa/d/clean-quiet-furnished-one-bdrm-apt-10/7032820965.html,1BR,1Ba,$810,,(Chicago),626 Carroll Square, #1E near Arlington Heights Road,(708) 774-8579,e6334813ea033749a76cef7f86de4cb3@hous.craigslist.org,,
,,https://chicago.craigslist.org/chc/apa/d/clean-quiet-furnished-one-bdrm-apt-10/7032820965.html,1BR,1Ba,$810,,(Chicago),626 Carroll Square, #1E near Arlington Heights Road,(708) 774-8579,e6334813ea033749a76cef7f86de4cb3@hous.craigslist.org,,
,,https://chicago.craigslist.org/chc/apa/d/chicago-look-no-further-brand-new/7032818250.html,1BR,1Ba,$810,,(Chicago),626 Carroll Square, #1E near Arlington Heights Road,(708) 774-8579,b3f9be9a46393fcc8f16fb97463c6354@hous.craigslist.org,,
,,https://chicago.craigslist.org/chc/apa/d/chicago-amazing-studio-1-bath-in/7032653051.html,0BR,1Ba,$1245,,(Orchard & Fullerton),1521 W Sherwin near Greenview,(708) 774-8579,a58fdc48114838e592209fbc7cc8d8e3@hous.craigslist.org,,
,,https://chicago.craigslist.org/chc/apa/d/chicago-east-village-division-blue-line/7032817836.html,0BR,1Ba,$1245,,(Orchard & Fullerton),1521 W Sherwin near Greenview,(708) 774-8579,758702ff01f23cb0b2dbdd3947952abf@hous.craigslist.org,,
,,https://chicago.craigslist.org/chc/apa/d/chicago-amazing-studio-1-bath-in/7032652534.html,0BR,1Ba,$1125,,(Milwaukee & Division),Division near Ashland,(708) 774-8579,758702ff01f23cb0b2dbdd3947952abf@hous.craigslist.org,,
,,https://chicago.craigslist.org/nch/apa/d/carpentersville-carpentersville-5br/7032652232.html,0BR,1Ba,$1125,,(Milwaukee & Division),Division near Ashland,(708) 774-8579,758702ff01f23cb0b2dbdd3947952abf@hous.craigslist.org,,
,,https://chicago.craigslist.org/nch/apa/d/carpentersville-carpentersville-5br/7032652232.html,5BR,3Ba,$2659,,(CARPENTERSVILLE),4602 Windstar Circle,(708) 774-8579,1224a6e68285351c81caffe3d5753aa1@hous.craigslist.org,,
,,https://chicago.craigslist.org/chc/apa/d/oak-park-beautiful-huge-2bd-2bath-apt/7032651113.html,2BR,2Ba,$1399,,(Oak Park),Taylor near Madison,(708) 774-8579,fd82547935ff38efbc78900e6217f78e@hous.craigslist.org,,
,,https://chicago.craigslist.org/sox/apa/d/mokena-rent-to-own-mokena-4br-4bath/7032650437.html,2BR,2Ba,$1399,,(Oak Park),Taylor near Madison,(312) 348-7533,fd82547935ff38efbc78900e6217f78e@hous.craigslist.org,,
,,https://chicago.craigslist.org/chc/apa/d/chicago-brand-new-3bd-2bth-rehabbed/7032816730.html,3BR,2Ba,$2300,,(Logan Square / Chicago),2620 N. Springfield 1 Front,(312) 348-7533,84cd2ea53dd33c2089f12cde7dbe46f4@hous.craigslist.org,,
,,https://chicago.craigslist.org/chc/apa/d/chicago-1-bd-on-lawrence-renovated/7032649722.html,1BR,1Ba,$1285,,(Chicago - Albany Park),3121 W Lawrence,(312) 480-0360,b766a8e6d1ff3e7da877ebfbc77a7aca@hous.craigslist.org,,
,,https://chicago.craigslist.org/wcl/apa/d/arlington-heights-apartments-in/7032816313.html,1BR,1Ba,$985,,(Chicago - Albany Park),2134 S Goebbert Road,(561) 603-3803,b766a8e6d1ff3e7da877ebfbc77a7aca@hous.craigslist.org,,
,,https://chicago.craigslist.org/wcl/apa/d/franklin-park-town-center-newly/7032648033.html,2BR,1Ba,$1000,,(Franklin Park, Illinois),2134 S Goebbert Road,(847) 305-3424,f262b4cbfdd6319883d25adef5501e32@hous.craigslist.org,,
,,https://chicago.craigslist.org/chc/apa/d/chicago-big-3-bed-in-lincoln-park/7032813861.html,3BR,2Ba,$2795,,(Chicago - Lincoln Park),West Webster,(708) 870-8276,f262b4cbfdd6319883d25adef5501e32@hous.craigslist.org,,
,,https://chicago.craigslist.org/sox/apa/d/orland-park-orland-park-2br-townhome/7032647521.html,2BR,2Ba,$2390,,(Orland Park),10595 West 153rd Street,(708) 870-8276,75ee9d3c5d19375f85c979231ce4f3c7@hous.craigslist.org,,
,,https://chicago.craigslist.org/nwi/apa/d/portage-awesome-1-bed-with-january-rent/7032647292.html,2BR,2Ba,$2390,,(Orland Park),10595 West 153rd Street,(314) 322-3561,75ee9d3c5d19375f85c979231ce4f3c7@hous.craigslist.org,,
,,https://chicago.craigslist.org/chc/apa/d/chicago-river-north-convertible-huge/7032811078.html,1BR,1Ba,$1550,,(Chicago - River North),North Dearborn St near Chicago,(219) 763-6728,68cadb547262382ea662387643034853@hous.craigslist.org,,
,,https://chicago.craigslist.org/wcl/apa/d/forest-park-huge-upper-flat-two-levels/7032643318.html,1BR,1Ba,$1550,,(Chicago - River North),North Dearborn St near Chicago,(843) 345-2369,68cadb547262382ea662387643034853@hous.craigslist.org,,
,,https://chicago.craigslist.org/chc/apa/d/chicago-gorgeous-3-bed-in-prime-lincoln/7032810711.html,3BR,1.5Ba,$2995,,(Chicago - Lincoln Park),West Belden Ave near Clark,(843) 345-2369,befeed58271a3e41b908d67cb13c0898@hous.craigslist.org,,
,,https://chicago.craigslist.org/chc/apa/d/chicago-just-rehabbed-gorgeous-2-bed-1/7032642014.html,2BR,1Ba,$2200,,(Chicago - Roscoe Village),1801 West School St,(314) 322-3561,6f760e07628733cfbd29f6cfcaa3aa0f@hous.craigslist.org,,
,,https://chicago.craigslist.org/chc/apa/d/chicago-luxury-1-bed-wood-floors-d-in/7032810456.html,1BR,1Ba,$2060,,(Chicago - Gold Coast),1801 West School St,(561) 603-3803,6f760e07628733cfbd29f6cfcaa3aa0f@hous.craigslist.org,,
,,https://chicago.craigslist.org/chc/apa/d/chicago-excellent-2-bed-boutique-high/7032641857.html,2BR,2Ba,$3025,,(Chicago - River North),West Huron St,(561) 603-3803,193b58544125309f9634936af9c44a01@hous.craigslist.org,,
,,https://chicago.craigslist.org/nwi/apa/d/gary-2-bedroom-home-huge-garage-included/7032637260.html,2BR,1Ba,$660,,(Miller Gary),10th ave. near Fayette st.,(312) 219-1661,3c0bf93e88e13adb9ef960925768ec16@hous.craigslist.org,,
,,https://chicago.craigslist.org/chc/apa/d/chicago-stop-looking-call-now1brheat/7032809331.html,1BR,1Ba,$740,,(South Shore),2843 E 80th Street,(219) 678-5152,3c0bf93e88e13adb9ef960925768ec16@hous.craigslist.org,,
,,https://chicago.craigslist.org/nwc/apa/d/hanover-park-3br-15-baths-sqft-house/7032636283.html,3BR,1.5Ba,$1400,,(Hanover Park,IL),2843 E 80th Street,(312) 985-0549,f7a9f5fac5913f37a028900c65500756@hous.craigslist.org,,
,,https://chicago.craigslist.org/chc/apa/d/chicago-new-uptown-loft-studio-for-rent/7032804164.html,0BR,1Ba,$1710,,(Kenmore St),Sunnyside near Broadway,(312) 985-0549,8c46243fc1973e6893f601fae66ed4f6@hous.craigslist.org,,
,,https://chicago.craigslist.org/wcl/apa/d/glendale-heights-two-bedroom-garden/7032801619.html,2BR,1Ba,$1050,,(Glendale Heights),440 gregory,(630) 336-8056,8c46243fc1973e6893f601fae66ed4f6@hous.craigslist.org,,
,,https://chicago.craigslist.org/nwi/apa/d/gary-4-bedroom-2-bath-house-for-rent/7032628430.html,2BR,1Ba,$1050,,(Glendale Heights),440 gregory,(630) 336-8056,4e7a6ad99953382e888dcf8b04cffa49@hous.craigslist.org,,
,,https://chicago.craigslist.org/chc/apa/d/chicago-beautifully-restored-studios/7032801561.html,0BR,1Ba,$820,,(Edgewater),5830 N Kenmore,(219) 765-2527,a84b638ae9ee379fbaf7db69d97b2620@hous.craigslist.org,,
,,https://chicago.craigslist.org/chc/apa/d/chicago-huge-vintage-2-bedroom-in/7032628316.html,0BR,1Ba,$820,,(Edgewater),5830 N Kenmore,(773) 484-8042,a84b638ae9ee379fbaf7db69d97b2620@hous.craigslist.org,,
,,https://chicago.craigslist.org/chc/apa/d/chicago-huge-vintage-2-bedroom-in/7032628316.html,2BR,1Ba,$950,,(Auburn Gresham),1110 W 80TH St,(312) 985-0549,533570c385ca35a58878756db11f1de9@hous.craigslist.org,,
,,https://chicago.craigslist.org/chc/apa/d/chicago-get-1-month-free-river-north/7032799131.html,1BR,1Ba,$2272,,(River North, Gold Coast, Merchandise Mart, Chicago Brown Lin),Huron near Kingsbury,(773) 397-8665,e294a51cba663afdb6b8da5819245dc0@hous.craigslist.org,,
,,https://chicago.craigslist.org/chc/apa/d/chicago-br-3bed-1bath-in-rogers-park/7032627971.html,1BR,1Ba,$2272,,(River North, Gold Coast, Merchandise Mart, Chicago Brown Lin),Huron near Kingsbury,(312) 348-7533,e294a51cba663afdb6b8da5819245dc0@hous.craigslist.org,,
,,https://chicago.craigslist.org/wcl/apa/d/glendale-heights-one-bedroom-apartments/7032796393.html,1BR,1Ba,$960,,(Glendale Heights),440 gregory,(312) 348-7533,20856e88bbb335b7844d2921af6acdb3@hous.craigslist.org,,
,,https://chicago.craigslist.org/wcl/apa/d/oak-park-studio-available-january-1st/7032627609.html,1BR,1Ba,$960,,(Glendale Heights),440 gregory,(312) 348-7533,0ce50eb6cc7132c792134fb7c429f2fb@hous.craigslist.org,,
,,https://chicago.craigslist.org/chc/apa/d/chicago-west-rogers-park-clean-and/7032794821.html,2BR,1Ba,$1150,,(Chicago),North Claremont near Granville,(312) 348-7533,f99c6a1d853f30feb44e86923f9c3953@hous.craigslist.org,,
,,https://chicago.craigslist.org/chc/apa/d/chicago-west-loop-2bd-2ba-available-now/7032626315.html,2BR,2Ba,$2793,,(West Loop, Randolph Street, Fulton River),Wayman near Halsted,(312) 348-7533,ef7115d138fc3c61811382c019cea954@hous.craigslist.org,,
,,https://chicago.craigslist.org/chc/apa/d/chicago-heat-included-large-3-full-bath/7032624911.html,4BR,3Ba,$1800,,(Bronzeville, Chicago),5231 South Michigan near Michigan and 52 nd St.,(708) 763-8220,c5f0c395b2773f5297c94868875095e8@hous.craigslist.org,,
,,https://chicago.craigslist.org/chc/apa/d/chicago-great-studio-large-closet/7032793436.html,0BR,1Ba,$1327,,(Chicago - Gold Coast),5231 South Michigan near Michigan and 52 nd St.,(630) 202-1832,c690adea791836eba3769a34dcba375a@hous.craigslist.org,,
,,https://chicago.craigslist.org/chc/apa/d/chicago-apartment-for-rent/7032624110.html,1BR,1Ba,$585,,(Jefferson),5231 South Michigan near Michigan and 52 nd St.,(312) 219-1661,c690adea791836eba3769a34dcba375a@hous.craigslist.org,,
,,https://chicago.craigslist.org/nwc/apa/d/central-air-dw-gas-cooking-heat/7032791865.html,1BR,1Ba,$585,,(Jefferson),5231 South Michigan near Michigan and 52 nd St.,(312) 219-1661,6795bcab511535ff9d270d057a8b7f53@hous.craigslist.org,,
,,https://chicago.craigslist.org/chc/apa/d/chicago-1-bd-1ba-apartment-near-kedzie/7032623137.html,2BR,2Ba,$1475,,(Palatine),West Sunnyside Ave near Kedzie,(773) 397-8665,6332cee34ed139928165efa530e5df94@hous.craigslist.org,,
,,https://chicago.craigslist.org/chc/apa/d/chicago-great-vintage-2-bed-pet-okay-in/7032621278.html,2BR,2Ba,$1475,,(Palatine),West Sunnyside Ave near Kedzie,(847) 781-0400,6332cee34ed139928165efa530e5df94@hous.craigslist.org,,
